Stammesnr.;VCP-Land;Bezirk/Gau/Region;Stammesname;Stammesort;;;;;;;;;;;;;;
160103;Schleswig-Holstein;ohne;St. Michael;24159 Kiel;;;;;;;;;;;;;;
160104;Schleswig-Holstein;ohne;Wikinger;24536 Neumünster (Holst)-Brachenfeld;;;;;;;;;;;;;;
160105;Schleswig-Holstein;ohne;Siedlung Lüneborg;24114 Kiel;;;;;;;;;;;;;;
160106;Schleswig-Holstein;ohne;nordFlues;24944 Flensburg;;;;;;;;;;;;;;
160107;Schleswig-Holstein;ohne;Alderaan;24106 Kiel;;;;;;;;;;;;;;
160108;Schleswig-Holstein;ohne;Normannen;24119 Kronshagen;;;;;;;;;;;;;;
160109;Schleswig-Holstein;ohne;Vicelin;23701 Eutin;;;;;;;;;;;;;;
160110;Schleswig-Holstein;ohne;Nimrod;24986 Satrup;;;;;;;;;;;;;;
160111;Schleswig-Holstein;ohne;Mori;23617 Stockelsdorf;;;;;;;;;;;;;;
160112;Schleswig-Holstein;ohne;11 oben;24635 Rickling;;;;;;;;;;;;;;
160113;Schleswig-Holstein;ohne;Kopernikus;21514 Bröthen;;;;;;;;;;;;;;
160114;Schleswig-Holstein;ohne;Steve Biko;25348 Glückstadt;;;;;;;;;;;;;;
160115;Schleswig-Holstein;ohne;Stamm Aukrug;24613 Aukrug;;;;;;;;;;;;;;
160116;Schleswig-Holstein;ohne;St. Georg;25358 Horst (Holstein);;;;;;;;;;;;;;
160117;Schleswig-Holstein;ohne;Cassiopeia;24576 Bad Bramstedt;;;;;;;;;;;;;;
160118;Schleswig-Holstein;ohne;Stamm Gosharde;25872 Ostenfeld (Husum) Gosharde;;;;;;;;;;;;;;
160119;Schleswig-Holstein;ohne;Stamm Heide;25746 Heide;;;;;;;;;;;;;;
160120;Schleswig-Holstein;ohne;Ritter von Barmstede ;25436 Uetersen;;;;;;;;;;;;;;
160121;Schleswig-Holstein;ohne;Dunedain;24235 Laboe;;;;;;;;;;;;;;
160122;Schleswig-Holstein;ohne;Ansgar;24105 Kiel-Blücherplatz;;;;;;;;;;;;;;
160123;Schleswig-Holstein;ohne;Cartoons;24321 Lütjenburg;;;;;;;;;;;;;;
160124;Schleswig-Holstein;ohne;Aspasia;24118 Kiel;;;;;;;;;;;;;;
160125;Schleswig-Holstein;ohne;Die Falken;25917 Leck;;;;;;;;;;;;;;
160126;Schleswig-Holstein;ohne;frei;;;;;;;;;;;;;;;
160127;Schleswig-Holstein;ohne;Wisent ;23911 Ziethen (b. Ratzeburg);;;;;;;;;;;;;;
160128;Schleswig-Holstein;ohne;Likedeeler;25361 Krempe;;;;;;;;;;;;;;
160129;Schleswig-Holstein;ohne;Martje Flor;24805 Hamdorf b. Rendsburg;;;;;;;;;;;;;;
160130;Schleswig-Holstein;ohne;Stamm Briganten;24791 Alt Duvenstedt;;;;;;;;;;;;;;
160131;Schleswig-Holstein;ohne;Swentana;23744 Schönwalde am Bugsberg;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
180101;Mitteldeutschland;Sachsen-Anhalt;Stamm Jakobus;06844 Dessau;;;;;;;;;;;;;;
180102;Mitteldeutschland;Sachsen-Anhalt;Fratres Tiliae;39356 Behnsdorf;;;;;;;;;;;;;;
180103;Mitteldeutschland;Sachsen-Anhalt;Cracau Citz;39114 Magdeburg;;;;;;;;;;;;;;
180104;Mitteldeutschland;Sachsen-Anhalt;Stamm Surf;06636 Laucha;;;;;;;;;;;;;;
180105;Mitteldeutschland;Sachsen-Anhalt;Die Schweden;06686 Großgörschen;;;;;;;;;;;;;;
180106;Mitteldeutschland;Sachsen-Anhalt;Wilde Kreaturen;29413 Dähre;;;;;;;;;;;;;;
180107;Mitteldeutschland;Sachsen-Anhalt;Roter Milan;06347 Gerbstedt;;;;;;;;;;;;;;
180108;Mitteldeutschland;Sachsen-Anhalt;Dietrich Bonhoeffer ;39649 Miesterhorst;;;;;;;;;;;;;;
180109;Mitteldeutschland;Sachsen-Anhalt;Tom Bombadil;29410 Salzwedel Hansestadt;;;;;;;;;;;;;;
180110;Mitteldeutschland;Sachsen-Anhalt;Die fuchsschlauen Wölfe;38486 Kusey;;;;;;;;;;;;;;
180111;Mitteldeutschland;Sachsen-Anhalt;Stamm St. Georg;06779 Raguhn;;;;;;;;;;;;;;
180112;Mitteldeutschland;Sachsen-Anhalt;Franziskus von Assisi;39638 Estedt;;;;;;;;;;;;;;
180113;Mitteldeutschland;Sachsen-Anhalt;Saale-Wiesel;06231 Bad Dürrenberg;;;;;;;;;;;;;;
180114;Mitteldeutschland;Sachsen-Anhalt;VCP Schkopau Alexandra von Trotha;06258 Schkopau;;;;;;;;;;;;;;
180115;Mitteldeutschland;Sachsen-Anhalt;VCP Werben;39606 Iden;;;;;;;;;;;;;;
180116;Mitteldeutschland;Sachsen-Anhalt;Harzer Luchse;38820 Halberstadt;;;;;;;;;;;;;;
180117;Mitteldeutschland;Sachsen-Anhalt;"VCP Landsberg ""Trollfürsten""";06188 Landsberg;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
180201;Mitteldeutschland;Thüringen;Die Wölfe;99955 Kutzleben;;;;;;;;;;;;;;
180202;Mitteldeutschland;Thüringen;Siedlung Arnstadt;99310 Arnstadt;;;;;;;;;;;;;;
180203;Mitteldeutschland;Thüringen;Hainleite;99759 Sollstedt (Wipper);;;;;;;;;;;;;;
180204;Mitteldeutschland;Thüringen;Siedlung Erfurt;99089 Erfurt;;;;;;;;;;;;;;
180205;Mitteldeutschland;Thüringen;Thüringer Wanderfalken ;99867 Gotha;;;;;;;;;;;;;;
180206;Mitteldeutschland;Thüringen;Stamm Drei Gleichen;99192 Neudietendorf;;;;;;;;;;;;;;
180207;Mitteldeutschland;Thüringen;Stamm Am Gottlob;99894 Friedrichroda;;;;;;;;;;;;;;
180208;Mitteldeutschland;Thüringen;VCP Rastenberger Orgelpfeifen;99636 Rastenberg;;;;;;;;;;;;;;
180209;Mitteldeutschland;Thüringen;VCP Gera/Bad Köstritz;07545 Gera;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
200901;Niedersachsen;Hannover;Altwarmbüchen;30916 Altwarmbüchen (Isernhagen);;;;;;;;;;;;;;
200902;Niedersachsen;Hannover;Hannover Süd;30519 Hannover Döhren;;;;;;;;;;;;;;
200903;Niedersachsen;Hannover;Paulus ;30169 Hannover-Südstadt;;;;;;;;;;;;;;
200904;Niedersachsen;Hannover;Kleefeld-Buchholz;30625 Hannover Kleefeld;;;;;;;;;;;;;;
200905;Niedersachsen;Hannover;Mechthild von Lona;30926 Seelze-Lohnde;;;;;;;;;;;;;;
200906;Niedersachsen;Hannover;Raoul Wallenberg;30880 Laatzen b. Hannover;;;;;;;;;;;;;;
200907;Niedersachsen;Hannover;VCP Wettbergen;30457 Hannover Wettbergen;;;;;;;;;;;;;;
200908;Niedersachsen;Hannover;Stephanus;30823 Garbsen-Berenbostel;;;;;;;;;;;;;;
200909;Niedersachsen;Hannover;JuKiMob;;;;;;;;;;;;;;;
200910;Niedersachsen;Hannover;Kiefernpfad;;;;;;;;;;;;;;;
200911;Niedersachsen;Hannover;MaJa;;;;;;;;;;;;;;;
200912;Niedersachsen;Hannover;Kastanienhof;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
201001;Niedersachsen;Süntel;Chico Mendes ;31832 Altenhagen b. Springe;;;;;;;;;;;;;;
201002;Niedersachsen;Süntel;VCP Beusterburg;31032 Betheln;;;;;;;;;;;;;;
201003;Niedersachsen;Süntel;Bilche;31675 Bückeburg;;;;;;;;;;;;;;
201004;Niedersachsen;Süntel;Aboriginals;31832 Springe (Deister)-Eldagsen;;;;;;;;;;;;;;
201005;Niedersachsen;Süntel;Grafen von Hallermundt;31832 Springe (Deister);;;;;;;;;;;;;;
201006;Niedersachsen;Süntel;Kreuzfähnlein;31787 Hameln-Basberg;;;;;;;;;;;;;;
201007;Niedersachsen;Süntel;Florian Geyer;31787 Hameln;;;;;;;;;;;;;;
201008;Niedersachsen;Süntel;Gruppe Tönebön (Kein Stamm);31785 Hameln;;;;;;;;;;;;;;
201009;Niedersachsen;Süntel;VCP Hämelschenburg;31860 Emmerthal Hämelschenburg;;;;;;;;;;;;;;
201010;Niedersachsen;Süntel;Eversteiner Löwen;31855 Aerzen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
202001;Niedersachsen;Aller-Heide;frei;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
202101;Niedersachsen;Heide;frei;;;;;;;;;;;;;;;
202102;Niedersachsen;Heide;Langobarden;21386 Betzendorf;;;;;;;;;;;;;;
202103;Niedersachsen;Heide;Astrid Lindgren;29328 Faßberg-Müden;;;;;;;;;;;;;;
202104;Niedersachsen;Heide;frei;;;;;;;;;;;;;;;
202105;Niedersachsen;Heide;Stamm Elvert;29568 Wieren-Ostedt;;;;;;;;;;;;;;
202106;Niedersachsen;Heide;Hermann Billung;29614 Soltau;;;;;;;;;;;;;;
202107;Niedersachsen;Heide;Julius Neuendorff  ;21255 Tostedt;;;;;;;;;;;;;;
202108;Niedersachsen;Heide;frei;;;;;;;;;;;;;;;
202109;Niedersachsen;Heide;Florian Geyer;29386 Hankensbüttel;;;;;;;;;;;;;;
202110;Niedersachsen;Heide;Heinrich der Löwe;29378 Wittingen;;;;;;;;;;;;;;
202111;Niedersachsen;Heide;Buchholz;21244 Buchholz in der Nordheide;;;;;;;;;;;;;;
202112;Niedersachsen;Heide;Ritter von Soltowe;29614 Soltau;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
203001;Niedersachsen;Bremen;Bonifatius ;27568 Bremerhaven;;;;;;;;;;;;;;
203002;Niedersachsen;Bremen;Daniel von Büren;28201 Bremen;;;;;;;;;;;;;;
203003;Niedersachsen;Bremen;Siedlung St. Petri;28207 Bremen;;;;;;;;;;;;;;
203004;Niedersachsen;Bremen;Querflieger Bremen-Nord;28719 Bremen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
203401;Niedersachsen;Friesen;Friesen;26486 Wangerooge Eldagsen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
203501;Niedersachsen;Osning;Stamm Ichthys;49565 Bramsche (Hase);;;;;;;;;;;;;;
203502;Niedersachsen;Osning;frei;;;;;;;;;;;;;;;
203503;Niedersachsen;Osning;Die Arche;49356 Diepholz;;;;;;;;;;;;;;
203504;Niedersachsen;Osning;Siedlung Hermann Bonnus;49124 Georgsmarienhütte;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
203701;Niedersachsen;Ems;Eberhard von Danckelmann;49808 Lingen (Ems);;;;;;;;;;;;;;
203702;Niedersachsen;Ems;frei;;;;;;;;;;;;;;;
203703;Niedersachsen;Ems;Wassergeusen;48527 Nordhorn;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
203801;Niedersachsen;Oldenburg;Kranich;26121 Oldenburg;;;;;;;;;;;;;;
203802;Niedersachsen;Oldenburg;Tjalken;26842 Ostrhauderfehn Idafehn;;;;;;;;;;;;;;
203803;Niedersachsen;Oldenburg;Wilke Steding;49661 Cloppenburg;;;;;;;;;;;;;;
203804;Niedersachsen;Oldenburg;Stamm Assini Essen;49632 Essen-Oldenburg;;;;;;;;;;;;;;
203805;Niedersachsen;Oldenburg;Franziskus;26441 Jever-Wangerland;;;;;;;;;;;;;;
203806;Niedersachsen;Oldenburg;Jadeburg;26349 Jade Jaderberg;;;;;;;;;;;;;;
203807;Niedersachsen;Oldenburg;Stamm Turmfalken;26486 Wangerooge;;;;;;;;;;;;;;
