Stammesnr.;VCP-Land;Bezirk/Gau/Region;Stammesname;Stammesort;;;;;;;;;;;;;;
704009;Württemberg;Gau Teck;Francesco Petrarca;73240 Wendlingen (am Neckar);;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
705001;Württemberg;Gau Strohgäu;Kreuzfahrer;70825 Korntal-Münchingen Korntal;;;;;;;;;;;;;;
705002;Württemberg;Gau Strohgäu;Arche Noah;71686 Remseck am Neckar Neckarrems;;;;;;;;;;;;;;
705003;Württemberg;Gau Strohgäu;Stamm Aldingen ;71686 Remseck am Neckar Aldingen;;;;;;;;;;;;;;
705004;Württemberg;Gau Strohgäu;Friedrich Schiller;70839 Gerlingen;;;;;;;;;;;;;;
705005;Württemberg;Gau Strohgäu;Stamm Ludwigsburg;71640 Ludwigsburg;;;;;;;;;;;;;;
705006;Württemberg;Gau Strohgäu;Henri Arnaud;75417 Mühlacker;;;;;;;;;;;;;;
705007;Württemberg;Gau Strohgäu;Stamm Neckargröningen ;71686 Neckargröningen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
706001;Württemberg;Gau Stuttgart;Dietrich von Bern;70372 Stuttgart Bad-Cannstatt;;;;;;;;;;;;;;
706002;Württemberg;Gau Stuttgart;St. Michael;70771 Leinfelden-Echterdingen Musberg;;;;;;;;;;;;;;
706003;Württemberg;Gau Stuttgart;Stamm Kreuzritter;70619 Stuttgart Heumaden;;;;;;;;;;;;;;
706004;Württemberg;Gau Stuttgart;Stamm Kreuzfahrer;70439 Stuttgart Stammheim;;;;;;;;;;;;;;
706005;Württemberg;Gau Stuttgart;Stamm Stuttgart-Gänsheide;70184 Stuttgart;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
707001;Württemberg;Gau Alb-Donau;Leintal;73453 Abtsgemünd-Leinroden;;;;;;;;;;;;;;
707002;Württemberg;Gau Alb-Donau;Beimerstetten ;89179 Beimerstetten;;;;;;;;;;;;;;
707003;Württemberg;Gau Alb-Donau;Ulrich von Hutten;73430 Aalen;;;;;;;;;;;;;;
707004;Württemberg;Gau Alb-Donau;Albrecht Ludwig Berblinger ;89075 Ulm;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
708001;Württemberg;Gau Achalm;St. Martin Ebingen;72458 Albstadt;;;;;;;;;;;;;;
708002;Württemberg;Gau Achalm;Jizchak Schwersenz ;72762 Reutlingen;;;;;;;;;;;;;;
708003;Württemberg;Gau Achalm;Sueben ;72108 Rottenburg am Neckar;;;;;;;;;;;;;;
708004;Württemberg;Gau Achalm;Burladingen ;72393 Burladingen;;;;;;;;;;;;;;
708005;Württemberg;Gau Achalm;Greenhorns;72072 Tübingen;;;;;;;;;;;;;;
708006;Württemberg;Gau Achalm;Stamm Tübingen;72072 Tübingen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
708301;Württemberg;Gau Oberland;Stamm Altshausen;88361 Altshausen;;;;;;;;;;;;;;
708302;Württemberg;Gau Oberland;Graf Montfort;88085 Langenargen;;;;;;;;;;;;;;
708303;Württemberg;Gau Oberland;Heinrich der Löwe ;88287 Ravensburg-Bavendorf;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
709001;Württemberg;Gau Schwarzwald;Stamm Königsboten;78713 Schramberg;;;;;;;;;;;;;;
709002;Württemberg;Gau Schwarzwald;Stamm Adalbert von Zollern;72275 Alpirsbach;;;;;;;;;;;;;;
709003;Württemberg;Gau Schwarzwald;Stamm Hopfau;72172 Sulz-Hopfau;;;;;;;;;;;;;;
709004;Württemberg;Gau Schwarzwald;Weiße Rose ;72348 Rosenfeld;;;;;;;;;;;;;;
709005;Württemberg;Gau Schwarzwald;Stamm Luthersche Jugend;72280 Dornstetten;;;;;;;;;;;;;;
709006;Württemberg;Gau Schwarzwald;Stamm Mettstett;72172 Sulz am Neckar Dürrenmettstetten;;;;;;;;;;;;;;
709007;Württemberg;Gau Schwarzwald;Stamm Schwenningen;78056 Villingen-Schwenningen;;;;;;;;;;;;;;
709008;Württemberg;Gau Schwarzwald;Stamm Trichtingen;78736 Trichtingen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
801001;Baden;Kurpfalz;Dietrich Bonhoeffer;69469 Weinheim (Bergstraße) Lützelsachsen;;;;;;;;;;;;;;
801002;Baden;Kurpfalz;Birger Forell;69469 Weinheim (Bergstraße) Lützelsachsen;;;;;;;;;;;;;;
801003;Baden;Kurpfalz;Neugründung Mannheim;68259 Mannheim;;;;;;;;;;;;;;
801004;Baden;Kurpfalz;Alfons Beil;69126 Heidelberg;;;;;;;;;;;;;;
801005;Baden;Kurpfalz;Häuptling Seattle - jetzt 801008 - frei;;;;;;;;;;;;;;;
801006;Baden;Kurpfalz;Badisch Sibirien;74736 Hardheim;;;;;;;;;;;;;;
801007;Baden;Kurpfalz;Dunedain Waldläufer;69118 Heidelberg (Neckar) Schlierbach;;;;;;;;;;;;;;
801008;Baden;Kurpfalz;VCP Weinheim - Stamm Zwei Burgen;69469 Weinheim;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
802001;Baden;Franken;Paul Gerhardt;76646 Bruchsal;;;;;;;;;;;;;;
802002;Baden;Franken;Toyohiko Kagawa;76646 Bruchsal-Heidelsheim;;;;;;;;;;;;;;
802003;Baden;Franken;Häuptling Geronimo;75038 Oberderdingen Flehingen;;;;;;;;;;;;;;
802004;Baden;Franken;Geschwister Scholl;76199 Karlsruhe Rüppurr;;;;;;;;;;;;;;
802005;Baden;Franken;Landstreicher;75015 Bretten;;;;;;;;;;;;;;
802006;Baden;Franken;Chiricahua;75180 Pforzheim;;;;;;;;;;;;;;
802007;Baden;Franken;Kleiner Prinz ;76227 Durlach;;;;;;;;;;;;;;
802008;Baden;Franken;John Rabe;76571 Gaggenau;;;;;;;;;;;;;;
802009;Baden;Franken;Francesco;76228 Karlsruhe Wolfartsweier;;;;;;;;;;;;;;
802010;Baden;Franken;Olave St. Clair;76149 Karlsruhe Nordstadt;;;;;;;;;;;;;;
802011;Baden;Franken;CVJM Waldheim;76149 Karlsruhe;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
803001;Baden;Ortenau;Martin Bucer;77654 Offenburg;;;;;;;;;;;;;;
803002;Baden;Ortenau;Regenbogen ;77963 Schwanau Nonnenweier;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
804001;Baden;Breisgau;Albert Schweitzer;79312 Emmendingen;;;;;;;;;;;;;;
804002;Baden;Breisgau;Alemannen;79110 Freiburg im Breisgau;;;;;;;;;;;;;;
804003;Baden;Breisgau;Arche Noah;79112 Freiburg im Breisgau Tiengen;;;;;;;;;;;;;;
804004;Baden;Breisgau;Jesus Sirach;79336 Herbolzheim (Breisgau);;;;;;;;;;;;;;
804005;Baden;Breisgau;Globetrotter;79232 March (Breisgau);;;;;;;;;;;;;;
804006;Baden;Breisgau;Friedensgemeinde Freiburg;79102 Freiburg;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
805001;Baden;Grenzland;Martin Luther;79539 Lörrach-Rötteln;;;;;;;;;;;;;;
805002;Baden;Grenzland;Konrad von Rötteln;79650 Schopfheim;;;;;;;;;;;;;;
805003;Baden;Grenzland;Die Brücke;79713 Bad Säckingen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
806001;Baden;Bodensee;Jan Hus ;78462 Konstanz;;;;;;;;;;;;;;
806002;Baden;Bodensee;frei;;;;;;;;;;;;;;;
806003;Baden;Bodensee;Kon Tiki;88605 Meßkirch;;;;;;;;;;;;;;
806004;Baden;Bodensee;Regenbogenbaum;78050 Villingen;;;;;;;;;;;;;;
806005;Baden;Bodensee;Stamm Kirneck Unterkirnach;78089 Unterkirnach;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
901001;Rheinland-Pfalz/Saar;Neu-Burgund;Franz von Sickingen;67434 Neustadt a. d. Weinstraße Hambach;;;;;;;;;;;;;;
901002;Rheinland-Pfalz/Saar;Neu-Burgund;St. Nikolaus;67158 Ellerstadt;;;;;;;;;;;;;;
901003;Rheinland-Pfalz/Saar;Neu-Burgund;Salier;67098 Bad Dürkheim;;;;;;;;;;;;;;
901004;Rheinland-Pfalz/Saar;Neu-Burgund;Hohenstaufen;67159 Friedelsheim;;;;;;;;;;;;;;
901005;Rheinland-Pfalz/Saar;Neu-Burgund;Hasalaha;67454 Haßloch;;;;;;;;;;;;;;
901006;Rheinland-Pfalz/Saar;Neu-Burgund;Ritter von Dalberg;67157 Wachenheim (a. d. Weinstraße);;;;;;;;;;;;;;
901007;Rheinland-Pfalz/Saar;Neu-Burgund;Hunnen;67146 Deidesheim;;;;;;;;;;;;;;
901008;Rheinland-Pfalz/Saar;Neu-Burgund;Siedlung Freinsheim;67251 Freinsheim;;;;;;;;;;;;;;
901009;Rheinland-Pfalz/Saar;Neu-Burgund;Siedlung Heinrich Lützel;67459 Böhl-Iggelheim;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
902001;Rheinland-Pfalz/Saar;Pfälzer-Wald;Franz von Sickingen;66869 Kusel;;;;;;;;;;;;;;
902002;Rheinland-Pfalz/Saar;Pfälzer-Wald;Albert Schweitzer;66916 Breitenbach (Pfalz);;;;;;;;;;;;;;
902003;Rheinland-Pfalz/Saar;Pfälzer-Wald;Martin Luther;66892 Miesau;;;;;;;;;;;;;;
902004;Rheinland-Pfalz/Saar;Pfälzer-Wald;Dagobert;76829 Landau in der Pfalz Mörzheim;;;;;;;;;;;;;;
902005;Rheinland-Pfalz/Saar;Pfälzer-Wald;VCP Schloß Wartenstein;55606 Kirn;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
903001;Rheinland-Pfalz/Saar;Tomburger Schar;Herigar;53340 Meckenheim (Rheinland);;;;;;;;;;;;;;
903002;Rheinland-Pfalz/Saar;Tomburger Schar;Pfalzgraf Ezzo;53359 Rheinbach;;;;;;;;;;;;;;
903003;Rheinland-Pfalz/Saar;Tomburger Schar;Richeza;53359 Rheinbach-Wormersdorf;;;;;;;;;;;;;;
903004;Rheinland-Pfalz/Saar;Tomburger Schar;Frei;;;;;;;;;;;;;;;
903005;Rheinland-Pfalz/Saar;Tomburger Schar;Herzog Otto II.;53343 Wachtberg;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
904001;Rheinland-Pfalz/Saar;Nassau-Oranienburg;Ulrich von Hutten;56077 Koblenz Pfaffendorfer Höhe;;;;;;;;;;;;;;
904002;Rheinland-Pfalz/Saar;Nassau-Oranienburg;Heinrich von Plauen  ;56075 Koblenz Karthause;;;;;;;;;;;;;;
904003;Rheinland-Pfalz/Saar;Nassau-Oranienburg;Erwachsenenrunde Dampf 90;56727 Mayen;;;;;;;;;;;;;;
904004;Rheinland-Pfalz/Saar;Nassau-Oranienburg;Kleiner Prinz;56068 Koblenz Mitte;;;;;;;;;;;;;;
904005;Rheinland-Pfalz/Saar;Nassau-Oranienburg;Brandan;56179 Vallendar;;;;;;;;;;;;;;
904006;Rheinland-Pfalz/Saar;Nassau-Oranienburg;Franz von Sickingen;56567 Neuwied-Feldkirchen;;;;;;;;;;;;;;
904007;Rheinland-Pfalz/Saar;Nassau-Oranienburg;Vasqua;56154 Boppard (Rhein);;;;;;;;;;;;;;
904008;Rheinland-Pfalz/Saar;Nassau-Oranienburg;Siedlung Yakima;56281 Emmelshausen;;;;;;;;;;;;;;
904009;Rheinland-Pfalz/Saar;Nassau-Oranienburg;Albert Schweitzer;53424 Remagen-Kripp;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
905001;Rheinland-Pfalz/Saar;Rheinfranken;John-F.-Kennedy;67227 Frankenthal (Pfalz);;;;;;;;;;;;;;
905002;Rheinland-Pfalz/Saar;Rheinfranken;Martin Luther King;67227 Frankenthal (Pfalz);;;;;;;;;;;;;;
905003;Rheinland-Pfalz/Saar;Rheinfranken;Wangari Maathai;67259 Beindersheim;;;;;;;;;;;;;;
905004;Rheinland-Pfalz/Saar;Rheinfranken;Nikolaus Graf von Zinzendorf;67063 Ludwigshafen (am Rhein) Friesenheim;;;;;;;;;;;;;;
905005;Rheinland-Pfalz/Saar;Rheinfranken;Albert Schweitzer;67245 Lambsheim;;;;;;;;;;;;;;
905006;Rheinland-Pfalz/Saar;Rheinfranken;Franz von Assisi;67229 Großkarlbach;;;;;;;;;;;;;;
905007;Rheinland-Pfalz/Saar;Rheinfranken;Nelson Mandela;67227 Frankenthal;;;;;;;;;;;;;;
905008;Rheinland-Pfalz/Saar;Rheinfranken;Frei;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
906001;Rheinland-Pfalz/Saar;Tronje;Die Spartaner ;54292 Trier ;;;;;;;;;;;;;;
906002;Rheinland-Pfalz/Saar;Tronje;Perceval;54295 Trier Mariahof;;;;;;;;;;;;;;
906003;Rheinland-Pfalz/Saar;Tronje;Siedlung Richard Löwenherz ;54329 Konz;;;;;;;;;;;;;;
906004;Rheinland-Pfalz/Saar;Tronje;Stamm Daun under;54550 Daun;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
907001;Rheinland-Pfalz/Saar;Hammersteiner Ring;Otto von Hammerstein;56566 Neuwied;;;;;;;;;;;;;;
907002;Rheinland-Pfalz/Saar;Hammersteiner Ring;Philipp Melanchthon;56581 Melsbach;;;;;;;;;;;;;;
907003;Rheinland-Pfalz/Saar;Hammersteiner Ring;Reichenstein;57639 Oberdreis (Westerwald);;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
908001;Rheinland-Pfalz/Saar;Saar;Römer;66121 Saarbrücken;;;;;;;;;;;;;;
908002;Rheinland-Pfalz/Saar;Saar;Scheidterhaufen;66133 Saarbrücken Scheidt;;;;;;;;;;;;;;
908003;Rheinland-Pfalz/Saar;Saar;Sankt Georg    ;66287 Quierschied Fischbach;;;;;;;;;;;;;;
908004;Rheinland-Pfalz/Saar;Saar;Siedlung Löwe von Juda;66663 Merzig;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
909001;Rheinland-Pfalz/Saar;Alt-Burgund;Dietrich Bonhoeffer;67278 Bockenheim a. d. Weinstraße;;;;;;;;;;;;;;
909002;Rheinland-Pfalz/Saar;Alt-Burgund;Nibelungen;67549 Worms;;;;;;;;;;;;;;
909003;Rheinland-Pfalz/Saar;Alt-Burgund;Grafen von Eberstein;67551 Worms Horchheim;;;;;;;;;;;;;;
909004;Rheinland-Pfalz/Saar;Alt-Burgund;Siedlung Sindilo ;67691 Hochspeyer ;;;;;;;;;;;;;;
909005;Rheinland-Pfalz/Saar;Alt-Burgund;Johannes Gutenberg ;55116 Mainz;;;;;;;;;;;;;;
909006;Rheinland-Pfalz/Saar;Alt-Burgund;Colugo;67283 Obrigheim (Pfalz);;;;;;;;;;;;;;
909007;Rheinland-Pfalz/Saar;Alt-Burgund;Leiningen;67273 Bobenheim am Berg;;;;;;;;;;;;;;
909008;Rheinland-Pfalz/Saar;Alt-Burgund;Lutra;67655 Kaiserslautern;;;;;;;;;;;;;;
909009;Rheinland-Pfalz/Saar;Alt-Burgund;Lohengrin;55268 Nieder-Olm;;;;;;;;;;;;;;
909010;Rheinland-Pfalz/Saar;Alt-Burgund;Parzival;55296 Harxheim (Rheinhessen);;;;;;;;;;;;;;
909011;Rheinland-Pfalz/Saar;Alt-Burgund;Cassiopeia ;55286 Wörrstadt;;;;;;;;;;;;;;
909012;Rheinland-Pfalz/Saar;Alt-Burgund;Siedlung Mainz Drais-Lerchenberg;55127 Mainz;;;;;;;;;;;;;;
